# x	y	u	v	mask
 32.0000	 32.0000	  0.0025	  0.0034	  0.0000
 64.0000	 32.0000	  0.0029	  0.0043	  0.0000
 96.0000	 32.0000	 -0.0058	  0.0136	  0.0000
128.0000	 32.0000	 -0.0295	  0.0508	  0.0000
160.0000	 32.0000	 -0.0371	  0.1531	  0.0000
192.0000	 32.0000	 -0.0279	  0.2295	  0.0000
224.0000	 32.0000	 -0.0011	  0.3183	  0.0000
256.0000	 32.0000	 -0.0172	  0.5714	  0.0000
288.0000	 32.0000	 -0.0637	  0.5411	  0.0000
320.0000	 32.0000	 -0.0670	  0.3412	  0.0000
352.0000	 32.0000	 -0.0077	  0.2757	  0.0000
384.0000	 32.0000	  0.0250	  0.2999	  0.0000
416.0000	 32.0000	  0.0380	  0.2328	  0.0000
448.0000	 32.0000	  0.0354	  0.1025	  0.0000
480.0000	 32.0000	  0.0289	  0.0482	  0.0000
